date,product,region,units_sold,unit_price,total_sales
2024-06-07,Laptop,South,21,850,17850
2024-06-09,Phone,West,48,400,19200
2024-06-11,Tablet,East,26,300,7800
2024-06-14,Headphones,North,78,120,9360
2024-06-16,Monitor,South,11,500,5500
2024-06-18,Laptop,West,18,850,15300
2024-06-20,Phone,East,40,400,16000
2024-06-22,Tablet,West,24,300,7200
2024-06-25,Headphones,South,90,120,10800
2024-07-01,Laptop,North,23,850,19550
2024-07-03,Phone,South,50,400,20000
2024-07-05,Tablet,East,32,300,9600
2024-07-07,Headphones,West,95,120,11400
2024-07-09,Monitor,North,14,500,7000
2024-07-11,Laptop,East,20,850,17000
2024-07-14,Phone,North,46,400,18400
2024-07-16,Tablet,South,28,300,8400
2024-07-18,Headphones,East,88,120,10560
2024-07-20,Monitor,West,12,500,6000
2024-07-22,Laptop,South,25,850,21250
2024-07-25,Phone,West,52,400,20800
2024-08-01,Laptop,North,22,850,18700
2024-08-03,Phone,East,44,400,17600
2024-08-05,Tablet,West,30,300,9000
2024-08-07,Headphones,North,92,120,11040
2024-08-09,Monitor,South,13,500,6500
2024-08-11,Laptop,West,19,850,16150
2024-08-14,Phone,South,48,400,19200
2024-08-16,Tablet,North,26,300,7800
2024-08-18,Headphones,South,85,120,10200
2024-08-20,Monitor,East,11,500,5500
2024-08-22,Laptop,East,24,850,20400
2024-08-25,Phone,North,50,400,20000
2024-09-01,Tablet,South,34,300,10200
2024-09-03,Headphones,West,98,120,11760
2024-09-05,Monitor,North,15,500,7500
2024-09-07,Laptop,South,26,850,22100
2024-09-09,Phone,West,55,400,22000
2024-09-11,Tablet,East,30,300,9000
2024-09-14,Headphones,North,90,120,10800
2024-09-16,Monitor,South,12,500,6000
2024-09-18,Laptop,West,21,850,17850
2024-09-20,Phone,East,46,400,18400
2024-09-22,Tablet,West,28,300,8400
2024-09-25,Headphones,South,95,120,11400
2024-10-01,Laptop,North,28,850,23800
2024-10-03,Phone,South,58,400,23200
2024-10-05,Tablet,East,36,300,10800
2024-10-07,Headphones,West,105,120,12600
2024-10-09,Monitor,North,16,500,8000
2024-10-11,Laptop,East,25,850,21250
2024-10-14,Phone,North,52,400,20800
2024-10-16,Tablet,South,32,300,9600
2024-10-18,Headphones,East,98,120,11760
2024-10-20,Monitor,West,14,500,7000
2024-10-22,Laptop,South,30,850,25500
2024-10-25,Phone,West,60,400,24000
2024-11-01,Laptop,North,35,850,29750
2024-11-03,Phone,East,65,400,26000
2024-11-05,Tablet,West,40,300,12000
2024-11-07,Headphones,North,115,120,13800
2024-11-09,Monitor,South,18,500,9000
2024-11-11,Laptop,West,28,850,23800
2024-11-14,Phone,South,62,400,24800
2024-11-16,Tablet,North,35,300,10500
2024-11-18,Headphones,South,108,120,12960
2024-11-20,Monitor,East,15,500,7500
2024-11-22,Laptop,East,32,850,27200
2024-11-25,Phone,North,68,400,27200
2024-12-01,Tablet,South,45,300,13500
2024-12-03,Headphones,West,125,120,15000
2024-12-05,Monitor,North,20,500,10000
2024-12-07,Laptop,South,40,850,34000
2024-12-09,Phone,West,72,400,28800
2024-12-11,Tablet,East,42,300,12600
2024-12-14,Headphones,North,120,120,14400
2024-12-16,Monitor,South,18,500,9000
2024-12-18,Laptop,West,35,850,29750
2024-12-20,Phone,East,70,400,28000
2024-12-22,Tablet,West,38,300,11400
2024-12-25,Headphones,South,130,120,15600
2024-12-28,Laptop,North,42,850,35700
2024-12-30,Phone,South,75,400,30000
